Reciprocal In Out
0.0 1.0 0.0
0.0 2.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
0.0 1.0 0.0
1.0 4.0 0.0
0.0 1.0 0.0
0.0 1.0 0.0
31.0 17.0 1.0
10.0 20.0 27.0
2.0 1.0 0.0
1.0 3.0 0.0
4.0 10.0 12.0
31.0 78.0 296.0
2.0 1.0 0.0
4.0 3.0 0.0
22.0 37.0 90.0
1.0 13.0 0.0
5.0 24.0 7.0
22.0 24.0 9.0
28.0 26.0 1.0
16.0 22.0 8.0
4.0 17.0 4.0
31.0 45.0 34.0
1.0 2.0 0.0
5.0 26.0 1.0
3.0 14.0 1.0
0.0 1.0 0.0
2.0 11.0 1.0
1.0 1.0 0.0
1.0 2.0 0.0
0.0 0.0 0.0
1.0 48.0 3.0
7.0 1.0 0.0
4.0 21.0 1.0
1.0 1.0 0.0
1.0 1.0 0.0
3.0 5.0 7.0
5.0 18.0 1.0
0.0 1.0 0.0
5.0 5.0 0.0
1.0 0.0 0.0
53.0 34.0 138.0
1.0 4.0 1.0
19.0 12.0 0.0
6.0 8.0 5.0
10.0 18.0 1.0
2.0 6.0 0.0
0.0 1.0 0.0
0.0 0.0 0.0
31.0 8.0 2.0
24.0 25.0 16.0
0.0 2.0 0.0
3.0 3.0 0.0
0.0 10.0 0.0
28.0 6.0 64.0
4.0 11.0 85.0
14.0 38.0 47.0
0.0 1.0 0.0
1.0 1.0 0.0
2.0 4.0 2.0
18.0 39.0 112.0
11.0 8.0 0.0
1.0 3.0 0.0
0.0 1.0 0.0
29.0 22.0 112.0
1.0 1.0 0.0
0.0 3.0 0.0
1.0 2.0 0.0
1.0 2.0 1.0
0.0 5.0 0.0
42.0 39.0 6.0
1.0 1.0 0.0
6.0 1.0 0.0
3.0 8.0 1.0
1.0 2.0 0.0
0.0 0.0 0.0
0.0 5.0 0.0
4.0 14.0 16.0
1.0 1.0 0.0
1.0 6.0 41.0
0.0 1.0 0.0
0.0 7.0 0.0
1.0 5.0 0.0
2.0 6.0 1.0
1.0 1.0 0.0
4.0 5.0 0.0
1.0 1.0 0.0
5.0 40.0 9.0
7.0 11.0 12.0
19.0 16.0 21.0
17.0 26.0 3.0
1.0 2.0 0.0
19.0 30.0 1.0
0.0 1.0 0.0
6.0 3.0 35.0
7.0 1.0 0.0
1.0 5.0 0.0
23.0 35.0 2.0
1.0 1.0 0.0
14.0 4.0 1.0
1.0 2.0 0.0
9.0 7.0 0.0
10.0 4.0 3.0
0.0 0.0 0.0
4.0 10.0 1.0
4.0 24.0 1.0
0.0 1.0 0.0
0.0 0.0 0.0
2.0 4.0 0.0
2.0 8.0 0.0
2.0 1.0 0.0
0.0 0.0 0.0
3.0 14.0 28.0
0.0 1.0 0.0
0.0 1.0 0.0
13.0 11.0 14.0
1.0 2.0 0.0
1.0 2.0 0.0
8.0 13.0 2.0
1.0 1.0 0.0
1.0 1.0 1.0
1.0 3.0 1.0
1.0 1.0 0.0
1.0 1.0 0.0
7.0 10.0 0.0
1.0 1.0 0.0
37.0 54.0 15.0
1.0 1.0 0.0
2.0 9.0 16.0
1.0 2.0 1.0
0.0 1.0 0.0
0.0 1.0 0.0
0.0 2.0 0.0
1.0 0.0 0.0
4.0 20.0 5.0
0.0 1.0 0.0
1.0 9.0 1.0
1.0 3.0 0.0
1.0 5.0 0.0
1.0 4.0 0.0
17.0 19.0 6.0
6.0 3.0 0.0
2.0 1.0 0.0
1.0 14.0 1.0
1.0 2.0 0.0
25.0 16.0 53.0
1.0 4.0 1.0
0.0 4.0 0.0
0.0 0.0 0.0
3.0 7.0 47.0
1.0 3.0 0.0
1.0 4.0 0.0
21.0 37.0 14.0
3.0 10.0 2.0
1.0 1.0 1.0
10.0 16.0 1.0
1.0 1.0 0.0
2.0 5.0 1.0
0.0 2.0 0.0
1.0 5.0 0.0
0.0 0.0 0.0
17.0 29.0 57.0
0.0 1.0 0.0
2.0 1.0 0.0
1.0 1.0 0.0
21.0 7.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
1.0 1.0 0.0
4.0 7.0 0.0
9.0 4.0 0.0
0.0 1.0 0.0
4.0 5.0 0.0
1.0 4.0 0.0
2.0 1.0 0.0
4.0 10.0 1.0
0.0 1.0 0.0
21.0 19.0 29.0
1.0 1.0 0.0
1.0 10.0 1.0
0.0 1.0 0.0
0.0 1.0 0.0
4.0 10.0 1.0
1.0 3.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
0.0 1.0 0.0
3.0 10.0 1.0
3.0 14.0 1.0
1.0 1.0 0.0
5.0 1.0 0.0
1.0 1.0 0.0
2.0 11.0 0.0
4.0 5.0 1.0
33.0 12.0 3.0
3.0 4.0 1.0
3.0 11.0 1.0
1.0 1.0 0.0
15.0 2.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
0.0 1.0 0.0
13.0 12.0 2.0
4.0 4.0 1.0
1.0 4.0 0.0
4.0 28.0 1.0
0.0 1.0 0.0
11.0 23.0 66.0
2.0 14.0 0.0
119.0 174.0 1029.0
5.0 11.0 2.0
2.0 12.0 1.0
0.0 1.0 0.0
3.0 8.0 0.0
8.0 18.0 7.0
1.0 4.0 0.0
1.0 4.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 12.0 1.0
6.0 21.0 0.0
10.0 18.0 1.0
9.0 6.0 1.0
2.0 1.0 0.0
1.0 2.0 0.0
2.0 4.0 29.0
1.0 1.0 0.0
1.0 1.0 0.0
1.0 7.0 0.0
9.0 13.0 1.0
5.0 24.0 13.0
1.0 1.0 0.0
1.0 2.0 0.0
2.0 13.0 1.0
19.0 12.0 20.0
1.0 3.0 0.0
3.0 1.0 0.0
1.0 2.0 0.0
1.0 1.0 0.0
1.0 4.0 0.0
20.0 61.0 1.0
1.0 1.0 0.0
2.0 2.0 0.0
9.0 3.0 3.0
1.0 1.0 0.0
0.0 0.0 0.0
0.0 1.0 0.0
24.0 32.0 105.0
1.0 11.0 0.0
1.0 2.0 0.0
0.0 2.0 0.0
2.0 17.0 0.0
2.0 3.0 0.0
1.0 3.0 0.0
3.0 5.0 0.0
2.0 8.0 1.0
3.0 18.0 0.0
5.0 3.0 20.0
2.0 1.0 0.0
1.0 2.0 0.0
3.0 3.0 0.0
30.0 17.0 1.0
3.0 3.0 1.0
1.0 4.0 9.0
2.0 14.0 2.0
1.0 1.0 0.0
1.0 5.0 24.0
3.0 16.0 4.0
1.0 2.0 0.0
1.0 2.0 0.0
20.0 19.0 3.0
2.0 5.0 0.0
0.0 2.0 0.0
0.0 1.0 0.0
7.0 8.0 1.0
2.0 21.0 1.0
2.0 6.0 1.0
6.0 8.0 0.0
1.0 6.0 0.0
10.0 2.0 24.0
3.0 17.0 3.0
1.0 4.0 0.0
1.0 6.0 0.0
0.0 1.0 0.0
1.0 13.0 0.0
1.0 1.0 0.0
5.0 4.0 0.0
0.0 1.0 0.0
1.0 2.0 0.0
2.0 1.0 0.0
0.0 1.0 0.0
4.0 7.0 0.0
1.0 6.0 1.0
0.0 0.0 0.0
0.0 1.0 0.0
1.0 5.0 0.0
1.0 1.0 0.0
16.0 23.0 68.0
1.0 2.0 0.0
2.0 5.0 0.0
11.0 12.0 1.0
2.0 2.0 1.0
2.0 22.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
3.0 12.0 0.0
1.0 6.0 1.0
1.0 2.0 1.0
2.0 12.0 1.0
4.0 17.0 7.0
10.0 30.0 1.0
0.0 1.0 0.0
2.0 5.0 1.0
5.0 16.0 1.0
1.0 3.0 0.0
33.0 12.0 1.0
11.0 11.0 1.0
1.0 6.0 0.0
0.0 3.0 0.0
9.0 22.0 29.0
9.0 5.0 1.0
0.0 1.0 0.0
0.0 0.0 0.0
13.0 6.0 0.0
5.0 27.0 7.0
2.0 11.0 0.0
0.0 2.0 0.0
1.0 1.0 0.0
1.0 4.0 0.0
7.0 20.0 11.0
1.0 3.0 0.0
1.0 6.0 0.0
1.0 2.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
2.0 2.0 0.0
1.0 1.0 0.0
0.0 1.0 0.0
1.0 3.0 0.0
1.0 2.0 0.0
0.0 1.0 0.0
4.0 10.0 3.0
0.0 3.0 0.0
3.0 11.0 1.0
25.0 23.0 12.0
1.0 1.0 0.0
27.0 38.0 29.0
11.0 7.0 4.0
13.0 14.0 23.0
1.0 2.0 2.0
1.0 6.0 1.0
2.0 11.0 2.0
4.0 2.0 0.0
1.0 1.0 0.0
0.0 2.0 0.0
1.0 1.0 0.0
0.0 0.0 0.0
1.0 1.0 0.0
0.0 1.0 0.0
15.0 50.0 1.0
14.0 63.0 129.0
6.0 5.0 0.0
39.0 60.0 39.0
4.0 6.0 1.0
0.0 1.0 0.0
1.0 0.0 0.0
3.0 8.0 1.0
2.0 4.0 0.0
0.0 2.0 0.0
1.0 9.0 0.0
1.0 5.0 0.0
1.0 5.0 0.0
3.0 8.0 31.0
15.0 1.0 0.0
45.0 12.0 166.0
5.0 6.0 1.0
10.0 51.0 25.0
2.0 3.0 1.0
1.0 2.0 0.0
27.0 21.0 40.0
23.0 18.0 36.0
1.0 4.0 0.0
1.0 1.0 0.0
58.0 48.0 1.0
0.0 1.0 0.0
1.0 2.0 0.0
5.0 5.0 0.0
41.0 79.0 613.0
0.0 2.0 0.0
3.0 17.0 1.0
0.0 3.0 0.0
25.0 14.0 1.0
15.0 14.0 75.0
1.0 8.0 0.0
27.0 12.0 44.0
1.0 2.0 0.0
0.0 1.0 0.0
0.0 1.0 0.0
5.0 5.0 1.0
8.0 11.0 13.0
2.0 15.0 0.0
1.0 2.0 0.0
19.0 2.0 1.0
15.0 49.0 24.0
0.0 1.0 0.0
4.0 20.0 1.0
0.0 5.0 0.0
1.0 3.0 0.0
0.0 0.0 0.0
20.0 14.0 51.0
0.0 1.0 0.0
4.0 18.0 12.0
1.0 1.0 0.0
5.0 27.0 43.0
24.0 13.0 2.0
1.0 1.0 0.0
1.0 1.0 0.0
7.0 6.0 0.0
0.0 4.0 0.0
1.0 4.0 1.0
3.0 6.0 1.0
1.0 1.0 0.0
1.0 1.0 0.0
21.0 14.0 0.0
0.0 0.0 0.0
1.0 2.0 0.0
14.0 10.0 1.0
9.0 17.0 42.0
5.0 12.0 0.0
9.0 10.0 22.0
5.0 1.0 0.0
1.0 1.0 0.0
7.0 8.0 1.0
3.0 1.0 1.0
1.0 2.0 0.0
0.0 1.0 0.0
0.0 0.0 0.0
3.0 5.0 1.0
1.0 3.0 0.0
2.0 3.0 0.0
1.0 6.0 0.0
15.0 43.0 131.0
0.0 0.0 0.0
1.0 11.0 0.0
1.0 1.0 0.0
5.0 16.0 2.0
33.0 36.0 38.0
4.0 2.0 1.0
17.0 15.0 2.0
1.0 1.0 0.0
1.0 4.0 0.0
0.0 0.0 0.0
0.0 1.0 0.0
2.0 2.0 0.0
5.0 18.0 2.0
1.0 1.0 0.0
5.0 5.0 0.0
9.0 11.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
7.0 9.0 1.0
1.0 6.0 1.0
2.0 10.0 0.0
1.0 2.0 0.0
1.0 4.0 0.0
3.0 14.0 0.0
20.0 52.0 38.0
1.0 4.0 0.0
3.0 13.0 21.0
9.0 11.0 13.0
1.0 1.0 0.0
13.0 30.0 20.0
8.0 11.0 4.0
26.0 31.0 34.0
1.0 1.0 0.0
10.0 10.0 0.0
1.0 13.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
1.0 6.0 0.0
1.0 4.0 0.0
1.0 1.0 0.0
0.0 1.0 0.0
1.0 2.0 0.0
8.0 13.0 0.0
2.0 2.0 0.0
1.0 3.0 0.0
5.0 2.0 0.0
3.0 6.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
14.0 8.0 4.0
2.0 1.0 0.0
0.0 1.0 0.0
0.0 1.0 0.0
1.0 3.0 0.0
0.0 1.0 0.0
4.0 10.0 1.0
1.0 3.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
0.0 0.0 0.0
17.0 37.0 18.0
0.0 1.0 0.0
1.0 1.0 0.0
5.0 20.0 2.0
1.0 5.0 0.0
0.0 2.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
6.0 7.0 8.0
5.0 10.0 13.0
2.0 16.0 13.0
1.0 17.0 1.0
1.0 1.0 0.0
8.0 10.0 2.0
0.0 0.0 0.0
2.0 2.0 0.0
9.0 4.0 1.0
1.0 1.0 0.0
7.0 11.0 1.0
0.0 0.0 0.0
3.0 21.0 14.0
0.0 1.0 0.0
1.0 3.0 0.0
10.0 13.0 9.0
1.0 1.0 0.0
0.0 1.0 0.0
2.0 4.0 1.0
3.0 5.0 31.0
1.0 4.0 0.0
1.0 3.0 1.0
1.0 3.0 0.0
2.0 19.0 0.0
7.0 3.0 0.0
1.0 1.0 0.0
4.0 3.0 1.0
5.0 24.0 0.0
12.0 57.0 174.0
1.0 1.0 0.0
31.0 51.0 2.0
1.0 4.0 0.0
12.0 22.0 2.0
3.0 10.0 1.0
1.0 2.0 1.0
53.0 42.0 73.0
2.0 11.0 0.0
3.0 8.0 2.0
3.0 1.0 0.0
4.0 1.0 0.0
21.0 51.0 40.0
0.0 1.0 0.0
0.0 2.0 0.0
5.0 7.0 0.0
4.0 1.0 0.0
1.0 1.0 0.0
2.0 6.0 0.0
4.0 1.0 0.0
2.0 1.0 0.0
8.0 8.0 0.0
3.0 4.0 0.0
1.0 3.0 0.0
38.0 37.0 13.0
0.0 0.0 0.0
1.0 1.0 0.0
2.0 22.0 1.0
2.0 3.0 0.0
4.0 5.0 1.0
0.0 1.0 0.0
0.0 4.0 0.0
6.0 10.0 1.0
39.0 73.0 429.0
25.0 7.0 1.0
5.0 11.0 65.0
1.0 2.0 0.0
2.0 1.0 1.0
1.0 3.0 0.0
5.0 1.0 1.0
5.0 14.0 1.0
0.0 1.0 0.0
0.0 1.0 0.0
1.0 3.0 0.0
1.0 1.0 0.0
1.0 6.0 0.0
1.0 8.0 0.0
8.0 3.0 1.0
0.0 1.0 0.0
7.0 1.0 0.0
3.0 7.0 3.0
10.0 6.0 1.0
8.0 5.0 2.0
1.0 3.0 0.0
29.0 28.0 6.0
2.0 7.0 0.0
5.0 4.0 0.0
2.0 1.0 0.0
7.0 21.0 1.0
15.0 62.0 38.0
17.0 11.0 4.0
5.0 5.0 1.0
1.0 1.0 0.0
1.0 1.0 0.0
1.0 10.0 1.0
65.0 23.0 164.0
8.0 35.0 244.0
11.0 19.0 0.0
1.0 6.0 0.0
8.0 13.0 0.0
1.0 3.0 0.0
0.0 1.0 0.0
0.0 0.0 0.0
1.0 2.0 0.0
0.0 0.0 0.0
5.0 28.0 4.0
2.0 4.0 0.0
0.0 0.0 0.0
1.0 12.0 1.0
1.0 1.0 0.0
0.0 1.0 0.0
0.0 4.0 0.0
1.0 3.0 0.0
1.0 1.0 1.0
1.0 1.0 0.0
1.0 1.0 0.0
15.0 21.0 16.0
1.0 4.0 0.0
1.0 2.0 0.0
2.0 14.0 0.0
5.0 1.0 1.0
0.0 1.0 0.0
1.0 0.0 0.0
67.0 38.0 116.0
1.0 1.0 0.0
1.0 4.0 0.0
1.0 7.0 1.0
0.0 1.0 0.0
1.0 1.0 0.0
17.0 54.0 66.0
0.0 1.0 0.0
81.0 72.0 379.0
1.0 1.0 0.0
7.0 1.0 0.0
1.0 2.0 1.0
2.0 7.0 1.0
0.0 2.0 0.0
1.0 24.0 2.0
3.0 1.0 0.0
1.0 1.0 0.0
3.0 20.0 8.0
7.0 6.0 0.0
1.0 2.0 0.0
12.0 42.0 1.0
0.0 1.0 0.0
2.0 12.0 0.0
35.0 118.0 12.0
2.0 8.0 13.0
0.0 1.0 0.0
3.0 3.0 0.0
5.0 23.0 0.0
9.0 20.0 0.0
13.0 10.0 33.0
0.0 1.0 0.0
1.0 1.0 0.0
14.0 9.0 1.0
0.0 1.0 0.0
10.0 15.0 140.0
5.0 4.0 1.0
2.0 17.0 1.0
1.0 1.0 0.0
3.0 12.0 1.0
25.0 28.0 0.0
0.0 1.0 0.0
5.0 7.0 0.0
0.0 1.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
0.0 1.0 0.0
1.0 12.0 0.0
15.0 18.0 1.0
1.0 1.0 0.0
3.0 4.0 0.0
0.0 0.0 0.0
33.0 43.0 212.0
1.0 4.0 0.0
3.0 6.0 0.0
3.0 11.0 2.0
1.0 1.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
2.0 2.0 1.0
1.0 4.0 0.0
1.0 2.0 0.0
20.0 19.0 1.0
2.0 8.0 0.0
2.0 8.0 0.0
26.0 11.0 14.0
4.0 6.0 0.0
1.0 4.0 1.0
0.0 1.0 0.0
6.0 14.0 27.0
0.0 1.0 0.0
0.0 0.0 0.0
1.0 9.0 0.0
0.0 1.0 0.0
1.0 3.0 1.0
4.0 4.0 0.0
34.0 44.0 68.0
3.0 10.0 1.0
2.0 11.0 0.0
1.0 1.0 0.0
0.0 0.0 0.0
1.0 3.0 9.0
13.0 27.0 17.0
23.0 35.0 5.0
1.0 5.0 7.0
5.0 4.0 3.0
5.0 15.0 1.0
4.0 7.0 0.0
2.0 4.0 0.0
6.0 17.0 2.0
0.0 1.0 0.0
1.0 2.0 0.0
2.0 13.0 5.0
1.0 2.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
4.0 7.0 0.0
0.0 1.0 0.0
4.0 8.0 0.0
38.0 69.0 442.0
4.0 14.0 5.0
15.0 9.0 3.0
0.0 1.0 0.0
22.0 36.0 11.0
4.0 4.0 0.0
2.0 5.0 1.0
0.0 1.0 0.0
2.0 1.0 0.0
1.0 3.0 0.0
1.0 1.0 0.0
4.0 20.0 23.0
5.0 7.0 0.0
4.0 13.0 0.0
1.0 1.0 0.0
7.0 6.0 1.0
1.0 1.0 0.0
1.0 2.0 0.0
2.0 7.0 0.0
1.0 1.0 0.0
4.0 12.0 0.0
2.0 12.0 0.0
1.0 2.0 0.0
0.0 1.0 0.0
29.0 8.0 5.0
2.0 15.0 1.0
13.0 20.0 82.0
0.0 1.0 0.0
6.0 7.0 1.0
16.0 14.0 12.0
1.0 4.0 0.0
1.0 1.0 0.0
8.0 7.0 1.0
1.0 2.0 0.0
1.0 3.0 0.0
0.0 1.0 0.0
0.0 1.0 0.0
0.0 1.0 0.0
2.0 10.0 0.0
1.0 6.0 0.0
32.0 49.0 10.0
1.0 1.0 0.0
2.0 3.0 0.0
1.0 7.0 0.0
2.0 1.0 0.0
9.0 5.0 1.0
8.0 13.0 1.0
0.0 1.0 0.0
5.0 10.0 1.0
1.0 4.0 0.0
0.0 0.0 0.0
3.0 12.0 0.0
11.0 9.0 1.0
7.0 13.0 0.0
1.0 1.0 0.0
25.0 27.0 17.0
1.0 1.0 0.0
1.0 1.0 0.0
15.0 10.0 1.0
0.0 0.0 0.0
3.0 17.0 1.0
8.0 7.0 4.0
1.0 1.0 0.0
1.0 1.0 0.0
2.0 28.0 1.0
6.0 9.0 1.0
6.0 14.0 27.0
0.0 1.0 0.0
3.0 3.0 0.0
1.0 1.0 0.0
1.0 12.0 0.0
0.0 2.0 0.0
4.0 2.0 1.0
0.0 3.0 0.0
0.0 0.0 0.0
1.0 3.0 0.0
1.0 1.0 1.0
4.0 8.0 1.0
1.0 2.0 0.0
15.0 10.0 1.0
4.0 19.0 0.0
10.0 12.0 17.0
1.0 2.0 0.0
3.0 4.0 1.0
0.0 1.0 0.0
13.0 9.0 0.0
1.0 14.0 2.0
14.0 5.0 0.0
1.0 6.0 0.0
5.0 3.0 0.0
9.0 12.0 2.0
0.0 1.0 0.0
0.0 1.0 0.0
0.0 2.0 0.0
27.0 39.0 44.0
0.0 1.0 0.0
8.0 9.0 60.0
1.0 1.0 0.0
1.0 3.0 0.0
5.0 11.0 1.0
1.0 4.0 0.0
1.0 4.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
31.0 24.0 7.0
1.0 1.0 0.0
1.0 1.0 0.0
10.0 23.0 30.0
1.0 1.0 0.0
7.0 3.0 0.0
0.0 0.0 0.0
10.0 14.0 206.0
7.0 5.0 0.0
2.0 14.0 1.0
1.0 5.0 0.0
1.0 2.0 0.0
46.0 27.0 10.0
3.0 3.0 1.0
5.0 8.0 0.0
2.0 14.0 5.0
1.0 3.0 0.0
1.0 3.0 0.0
2.0 8.0 0.0
13.0 5.0 0.0
2.0 7.0 1.0
2.0 5.0 1.0
7.0 20.0 1.0
18.0 19.0 1.0
1.0 4.0 0.0
1.0 3.0 0.0
3.0 14.0 2.0
0.0 0.0 0.0
0.0 0.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
19.0 15.0 0.0
1.0 2.0 0.0
1.0 2.0 0.0
30.0 14.0 26.0
3.0 16.0 2.0
8.0 2.0 0.0
47.0 55.0 77.0
0.0 1.0 0.0
1.0 3.0 0.0
7.0 8.0 8.0
1.0 2.0 0.0
2.0 9.0 5.0
2.0 3.0 0.0
1.0 2.0 0.0
5.0 3.0 0.0
11.0 24.0 2.0
8.0 9.0 3.0
27.0 51.0 50.0
0.0 0.0 0.0
17.0 34.0 138.0
5.0 6.0 0.0
7.0 15.0 1.0
1.0 2.0 0.0
1.0 4.0 1.0
1.0 1.0 0.0
2.0 10.0 0.0
1.0 1.0 0.0
10.0 9.0 0.0
3.0 12.0 1.0
1.0 2.0 0.0
1.0 3.0 0.0
15.0 31.0 60.0
0.0 1.0 0.0
0.0 0.0 0.0
0.0 1.0 0.0
0.0 2.0 0.0
17.0 10.0 5.0
11.0 5.0 3.0
13.0 2.0 1.0
41.0 47.0 287.0
1.0 1.0 0.0
1.0 1.0 0.0
1.0 12.0 0.0
5.0 9.0 1.0
1.0 2.0 0.0
12.0 8.0 1.0
0.0 1.0 0.0
2.0 2.0 0.0
2.0 6.0 1.0
6.0 4.0 1.0
1.0 5.0 0.0
1.0 9.0 1.0
0.0 1.0 0.0
1.0 1.0 1.0
6.0 18.0 1.0
8.0 4.0 1.0
1.0 5.0 0.0
1.0 2.0 0.0
6.0 12.0 1.0
0.0 1.0 0.0
1.0 8.0 0.0
1.0 1.0 1.0
2.0 5.0 1.0
2.0 7.0 1.0
1.0 13.0 0.0
1.0 4.0 0.0
2.0 1.0 0.0
2.0 2.0 0.0
4.0 3.0 1.0
1.0 12.0 0.0
1.0 4.0 0.0
1.0 2.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
1.0 0.0 0.0
3.0 15.0 9.0
1.0 1.0 0.0
8.0 2.0 1.0
0.0 0.0 0.0
19.0 16.0 48.0
3.0 28.0 0.0
1.0 2.0 0.0
0.0 1.0 0.0
1.0 5.0 0.0
1.0 3.0 0.0
0.0 0.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
9.0 6.0 0.0
12.0 15.0 23.0
1.0 2.0 1.0
0.0 1.0 0.0
3.0 2.0 0.0
1.0 8.0 1.0
1.0 1.0 0.0
1.0 1.0 0.0
2.0 2.0 1.0
0.0 0.0 0.0
20.0 22.0 76.0
0.0 0.0 0.0
7.0 8.0 62.0
1.0 3.0 0.0
11.0 32.0 36.0
0.0 1.0 0.0
1.0 2.0 0.0
3.0 23.0 0.0
50.0 38.0 212.0
0.0 0.0 0.0
2.0 4.0 0.0
6.0 7.0 0.0
1.0 1.0 0.0
1.0 3.0 0.0
11.0 15.0 35.0
24.0 44.0 68.0
50.0 38.0 17.0
9.0 29.0 4.0
3.0 11.0 2.0
1.0 1.0 0.0
2.0 1.0 0.0
6.0 3.0 2.0
23.0 12.0 1.0
14.0 28.0 9.0
1.0 1.0 0.0
1.0 11.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
18.0 23.0 1.0
3.0 9.0 0.0
0.0 0.0 0.0
1.0 4.0 0.0
2.0 3.0 0.0
3.0 10.0 26.0
2.0 2.0 1.0
25.0 57.0 21.0
1.0 10.0 1.0
1.0 2.0 1.0
6.0 3.0 0.0
1.0 8.0 3.0
1.0 2.0 0.0
24.0 35.0 6.0
6.0 24.0 47.0
9.0 23.0 2.0
4.0 18.0 0.0
0.0 1.0 0.0
3.0 12.0 0.0
23.0 38.0 132.0
1.0 7.0 1.0
2.0 11.0 6.0
18.0 23.0 16.0
1.0 5.0 0.0
0.0 1.0 0.0
43.0 39.0 19.0
4.0 16.0 1.0
2.0 16.0 0.0
13.0 18.0 58.0
8.0 2.0 0.0
2.0 2.0 1.0
1.0 1.0 0.0
0.0 1.0 0.0
12.0 24.0 16.0
3.0 5.0 0.0
5.0 11.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
37.0 69.0 185.0
0.0 1.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
38.0 87.0 126.0
1.0 7.0 0.0
2.0 3.0 0.0
1.0 6.0 1.0
1.0 1.0 0.0
10.0 3.0 1.0
1.0 1.0 0.0
23.0 14.0 3.0
1.0 1.0 0.0
2.0 10.0 0.0
1.0 0.0 0.0
19.0 17.0 8.0
23.0 13.0 1.0
5.0 9.0 0.0
1.0 3.0 0.0
17.0 11.0 9.0
1.0 12.0 0.0
31.0 20.0 109.0
0.0 1.0 0.0
3.0 8.0 1.0
3.0 7.0 1.0
38.0 55.0 65.0
1.0 2.0 0.0
5.0 1.0 0.0
4.0 3.0 1.0
2.0 3.0 1.0
1.0 1.0 0.0
0.0 1.0 0.0
32.0 33.0 204.0
5.0 16.0 1.0
0.0 0.0 0.0
1.0 11.0 0.0
1.0 2.0 0.0
0.0 3.0 0.0
1.0 2.0 0.0
3.0 3.0 1.0
